Year,RetroID,BBDBID
2005,ANA,LAA
2006,ANA,LAA
2007,ANA,LAA
2008,ANA,LAA
2009,ANA,LAA
2010,ANA,LAA
2011,ANA,LAA
2012,ANA,LAA
2013,ANA,LAA
2014,ANA,LAA
2015,ANA,LAA
2016,ANA,LAA
2017,ANA,LAA
2018,ANA,LAA
2019,ANA,LAA
1970,MIL,ML4
1971,MIL,ML4
1972,MIL,ML4
1973,MIL,ML4
1974,MIL,ML4
1975,MIL,ML4
1976,MIL,ML4
1977,MIL,ML4
1978,MIL,ML4
1979,MIL,ML4
1980,MIL,ML4
1981,MIL,ML4
1982,MIL,ML4
1983,MIL,ML4
1984,MIL,ML4
1985,MIL,ML4
1986,MIL,ML4
1987,MIL,ML4
1988,MIL,ML4
1989,MIL,ML4
1990,MIL,ML4
1991,MIL,ML4
1992,MIL,ML4
1993,MIL,ML4
1994,MIL,ML4
1995,MIL,ML4
1996,MIL,ML4
1997,MIL,ML4
1953,MLN,ML1
1954,MLN,ML1
1955,MLN,ML1
1956,MLN,ML1
1957,MLN,ML1
1958,MLN,ML1
1959,MLN,ML1
1960,MLN,ML1
1961,MLN,ML1
1962,MLN,ML1
1963,MLN,ML1
1964,MLN,ML1
1965,MLN,ML1
1891,PH4,PHQ
